bg,NA,NA.1,selected,deltalnL,p,q,sig,sigS1,summary,delCS2,pCS2,qCS2,sig2
BG10201,18):,0,1,0.227480999999898,0.5,0.339703577204483,,,,NA,NA,NA,NA
BG10203,18):,0,1,5.05483600000025,0.0015,0.0046106055318628,C,S,CS,0.34049799999957,0.4092,0.38952021676657,NA
BG10206,18):,0,1,5.56328200000007,9e-04,0.0031684510108499,C,S,CS,0.657935999999609,0.2513,0.287249608847880,NA
BG10209,18):,0,1,2.18831999999929,0.0364,0.0540224348821598,,,,NA,NA,NA,NA
BG10210,18):,0,1,3.17090000000007,0.0118,0.0237382361447802,C,S,CS,1.23480099999961,0.1161,0.175943542603195,NA
BG10212,18):,0,1,3.30909800000063,0.0101,0.0215345582787498,C,,C,2.35081499999978,0.0301,0.0753639006963765,NA
BG10213,18):,0,1,0.229827000000114,0.4978,0.339449255593826,,,,NA,NA,NA,NA
BG10214,18):,0,1,4.01565599999958,0.0046,0.0114626357557588,C,S,CS,0.332534000000123,0.4148,0.391591829532003,NA
BG10215,18):,0,1,3.64222900000004,0.007,0.0159348998206486,C,S,CS,0.454038000000764,0.3406,0.352772368648435,NA
BG10216,18):,0,1,10.8768639999998,0,0,C,S,CS,0.559317999999621,0.2902,0.312954254599546,NA
BG10217,18):,0,1,3.24799699999994,0.0108,0.0224731370666467,C,S,CS,3.67157499999985,0.0067,0.0287935168773532,CS2
BG10218,18):,0,1,1.50915499999996,0.0823,0.0971438707584728,,S,S,1.83805499999994,0.0552,0.103207930625318,NA
BG10219,18):,0,1,3.29860699999972,0.0102,0.0216714637560821,C,S,CS,0.293053000000327,0.4439,0.406491331916157,NA
BG10220,18):,0,1,0.0045799999998053,0.9238,0.495684063544067,,,,NA,NA,NA,NA
BG10221,18):,0,1,0.0306820000005246,0.8044,0.458217563309248,,,,NA,NA,NA,NA
BG10222,18):,0,1,1.77841900000021,0.0593,0.0763993686294673,,,,NA,NA,NA,NA
BG10223,18):,0,1,0.000642999999399763,0.9714,0.508390790025555,,,,NA,NA,NA,NA
BG10224,18):,0,1,0.0502239999996164,0.7513,0.442717399608542,,,,NA,NA,NA,NA
BG10226,18):,0,1,0.62507800000003,0.2635,0.22163434449574,,,,NA,NA,NA,NA
BG10227,18):,0,1,3.5287100000005,0.0079,0.0176518705762314,C,S,CS,7.54322499999944,1e-04,0.00239945973977943,CS2
BG10228,18):,0,1,10.4992560000001,0,0,C,S,CS,1.64026000000013,0.0701,0.122328820188028,NA
BG10229,18):,0,1,0.046118999999635,0.7614,0.445456660377576,,,,NA,NA,NA,NA
BG10231,18):,0,1,2.67598100000032,0.0207,0.0360183683877075,C,S,CS,7.57143199999973,1e-04,0.00239945973977943,CS2
BG10232,18):,0,1,0.0960660000000644,0.6611,0.407651085859848,,,,NA,NA,NA,NA
BG10234,18):,0,1,2.25020900000072,0.0339,0.0511903689500239,,,,NA,NA,NA,NA
BG10235,18):,0,1,1.34155199999987,0.1014,0.112044445235262,,,,NA,NA,NA,NA
BG10236,18):,0,1,5.67774899999995,8e-04,0.00288345806278404,C,S,CS,0.155175999999756,0.5775,0.450630243812234,NA
BG10237,18):,0,1,3.63508200000024,0.007,0.0159348998206486,C,S,CS,1.59250399999974,0.0743,0.127342756189723,NA
BG10238,18):,0,1,0.196355000000040,0.5309,0.350835405058892,,,,NA,NA,NA,NA
BG10241,18):,0,1,5.09680200000003,0.0014,0.00441529515863806,C,S,CS,1.14930000000004,0.1295,0.192204146165837,NA
BG10243,18):,0,1,0.00128200000017387,0.9596,0.504938349451456,,,,NA,NA,NA,NA
BG10248,18):,0,1,3.25080600000001,0.0108,0.0224731370666467,C,,C,0.0418789999998808,0.7723,0.51350649914911,NA
BG10252,18):,0,1,3.5468350000001,0.0077,0.0172687099537844,C,,C,2.43740000000071,0.0273,0.0708164874551118,NA
BG10258,18):,0,1,0.365983000000142,0.3922,0.289972372365103,,,,NA,NA,NA,NA
BG10260,18):,0,1,0.559655000000021,0.2901,0.234217531523822,,,,NA,NA,NA,NA
BG10261,18):,0,1,0.0471260000001621,0.7588,0.445226042043131,,,,NA,NA,NA,NA
BG10262,18):,0,1,0.190056999999797,0.5375,0.353772096561683,,,,NA,NA,NA,NA
BG10263,18):,0,1,0.00485000000116997,0.9215,0.495684063544067,,,,NA,NA,NA,NA
BG10264,18):,0,1,0.0842900000002373,0.6814,0.416895609368340,,,,NA,NA,NA,NA
BG10265,18):,0,1,0.32339999999931,0.4213,0.304425041991280,,,,NA,NA,NA,NA
BG10266,18):,0,1,0.000724999999874854,0.9696,0.50832744321371,,,,NA,NA,NA,NA
BG10268,18):,0,1,4.50000006821938e-05,0.9924,0.51404978110902,,,,NA,NA,NA,NA
BG10269,18):,0,1,0.957351000000017,0.1664,0.161830033973104,,,,NA,NA,NA,NA
BG10270,18):,0,1,0.0334329999998317,0.796,0.455627100728675,,,,NA,NA,NA,NA
BG10271,18):,0,1,8.58623100000023,0,0,C,S,CS,3.21354899999915,0.0112,0.0403109236282944,CS2
BG10272,18):,0,1,0.638234999998531,0.2586,0.220098565724982,,S,S,5.95894399999997,6e-04,0.00863805506320595,CS2
BG10273,18):,0,1,0.743019000000459,0.2228,0.199278044079084,,,,NA,NA,NA,NA
BG10274,18):,0,1,7.88125900000068,1e-04,0.000513157790834448,C,S,CS,0.183453999999983,0.5447,0.440556984356581,NA
BG10275,18):,0,1,6.90033600000061,2e-04,0.000910565704037065,C,S,CS,5.4174839999996,0.001,0.0102833988847690,CS2
BG10277,18):,0,1,2.12222299999985,0.0394,0.057627372008394,,,,NA,NA,NA,NA
BG10279,18):,0,1,1.79308099999980,0.0583,0.0759186603498172,,,,NA,NA,NA,NA
BG10280,18):,0,1,0.0146749999998974,0.864,0.482134898017279,,,,NA,NA,NA,NA
BG10281,18):,0,1,0.897590000000491,0.1803,0.172474522324158,,,,NA,NA,NA,NA
BG10282,18):,0,1,2.68709399999989,0.0204,0.0359091114562989,C,,C,0.237299000000348,0.4909,0.416953906639902,NA
BG10283,18):,0,1,6.11185999999998,5e-04,0.00199186247758108,C,,C,-0.209550999999919,1,0.584046995483837,NA
BG10284,18):,0,1,1.90382700000009,0.051,0.0684741371450489,,,,NA,NA,NA,NA
BG10285,18):,0,1,12.0188660000003,0,0,C,S,CS,0.0400659999995696,0.7771,0.514377976215888,NA
BG10287,18):,0,1,9.96047199999884,0,0,C,S,CS,0.171718999999939,0.5579,0.443754228339097,NA
BG10288,18):,0,1,0.0357240000003003,0.7892,0.454864823519771,,,,NA,NA,NA,NA
BG10289,18):,0,1,4.11276499999985,0.0041,0.0104753476458104,C,S,CS,0.132854999999836,0.6062,0.458452619371883,NA
BG10290,18):,0,1,2.32123599999977,0.0312,0.0478289043730659,C,S,CS,2.46460399999978,0.0264,0.06973842619836,NA
BG10291,18):,0,1,0.116336000000047,0.6295,0.394657651375833,,,,NA,NA,NA,NA
BG10292,18):,0,1,9.68986799999948,0,0,C,S,CS,-0.00353699999959645,1,0.584046995483837,NA
BG10293,18):,0,1,1.70096100000046,0.0651,0.082295939825304,,,,NA,NA,NA,NA
BG10294,18):,0,1,2.43108200000006,0.0275,0.0439365971308122,C,,C,0.00574799999958486,0.9146,0.567554968448862,NA
BG10295,18):,0,1,4.54457600000023,0.0026,0.00735686029102843,C,S,CS,1.97709099999975,0.0468,0.0980648763214202,NA
BG10296,18):,0,1,0.283609999999953,0.4514,0.315708828998341,,,,NA,NA,NA,NA
BG10301,18):,0,1,2.59999997069826e-05,0.9942,0.514102597151304,,,,NA,NA,NA,NA
BG10302,18):,0,1,0.635627999999997,0.2595,0.220384357828073,,,,NA,NA,NA,NA
BG10305,18):,0,1,2.70468199999959,0.02,0.0354108884903303,C,S,CS,3.19648700000016,0.0115,0.0403811517182392,CS2
BG10306,18):,0,1,3.79850399999987,0.0058,0.0136655716749843,C,S,CS,0.33960100000013,0.4099,0.38952021676657,NA
BG10308,18):,0,1,7.22328300000027,1e-04,0.000513157790834448,C,,C,-5.51030700000047,1,0.584046995483837,NA
BG10309,18):,0,1,0.0328479999998308,0.7977,0.455627100728675,,,,NA,NA,NA,NA
BG10312,18):,0,1,1.77135999999973,0.0598,0.0768453791774585,,S,S,0.247573999999986,0.4816,0.416953906639902,NA
BG10313,18):,0,1,0.313571999999112,0.4284,0.305748084868586,,,,NA,NA,NA,NA
BG10314,18):,0,1,0.781918000000587,0.2111,0.192783489818124,,S,S,0.199789000000237,0.5273,0.4355328813626,NA
BG10322,18):,0,1,19.1517119999990,0,0,C,S,CS,1.94775800000025,0.0484,0.098141282877739,NA
BG10324,18):,0,1,1.57826100000011,0.0756,0.0917390384864918,,S,S,0.997162000000117,0.1579,0.220703704608450,NA
BG10325,18):,0,1,0.678668000000016,0.244,0.211501648905209,,,,NA,NA,NA,NA
BG10327,18):,0,1,9.85100599999987,0,0,C,S,CS,4.58370600000035,0.0025,0.0170410610090457,CS2
BG10328,18):,0,1,0.372268000000076,0.3882,0.288777970754644,,,,NA,NA,NA,NA
BG10329,18):,0,1,1.61974999999984,0.0719,0.0884905148170248,,,,NA,NA,NA,NA
BG10330,18):,0,1,1.41511100000025,0.0925,0.104889836834419,,,,NA,NA,NA,NA
BG10331,18):,0,1,2.08872699999938,0.041,0.0592519663975431,,,,NA,NA,NA,NA
BG10332,18):,0,1,12.8309180000006,0,0,C,S,CS,0.862643999999818,0.189,0.242491487788839,NA
BG10334,18):,0,1,0.167933000000176,0.5622,0.365264834558379,,,,NA,NA,NA,NA
BG10337,18):,0,1,7.66848700000082,1e-04,0.000513157790834448,C,,C,1.32246399999985,0.1039,0.162589478454184,NA
BG10338,18):,0,1,0.878700999999637,0.1849,0.174041767637389,,,,NA,NA,NA,NA
BG10339,18):,0,1,6.9352399999998,2e-04,0.000910565704037065,C,S,CS,3.31367200000022,0.01,0.0373941777627963,CS2
BG10340,18):,0,1,0.108267000000524,0.6417,0.399348569544284,,,,NA,NA,NA,NA
BG10341,18):,0,1,0.225481999999829,0.5019,0.339703577204483,,,,NA,NA,NA,NA
BG10342,18):,0,1,0.0518860000001951,0.7473,0.441472901626232,,,,NA,NA,NA,NA
BG10343,18):,0,1,2.67490499999985,0.0207,0.0360183683877075,C,,C,6.17462199999954,4e-04,0.00639855930607848,CS2
BG10345,18):,0,1,5.72756699999991,7e-04,0.00261647120511885,C,S,CS,0.24019700000008,0.4882,0.416953906639902,NA
BG10347,18):,0,1,0.164703000000372,0.566,0.367067908133514,,,,NA,NA,NA,NA
BG10348,18):,0,1,0.508597000000009,0.3132,0.245343859903534,,,,NA,NA,NA,NA
BG10349,18):,0,1,6.05144700000164,5e-04,0.00199186247758108,C,S,CS,1.23675000000003,0.1158,0.175943542603195,NA
BG10350,18):,0,1,3.67246999999952,0.0067,0.0154259524499511,C,,C,4.779853,0.002,0.0140456179889528,CS2
BG10351,18):,0,1,0.573424000000159,0.2842,0.230994018930305,,,,NA,NA,NA,NA
BG10352,18):,0,1,0.311187000000245,0.4302,0.305748084868586,,,,NA,NA,NA,NA
BG10353,18):,0,1,3.00475200000028,0.0142,0.0274711563681214,C,,C,0.0246990000000551,0.8241,0.532615502776152,NA
BG10354,18):,0,1,0.128804999999829,0.6118,0.38832382074462,,,,NA,NA,NA,NA
BG10356,18):,0,1,1.68919000000005,0.0661,0.0830400028412972,,,,NA,NA,NA,NA
BG10357,18):,0,1,0.0280070000007981,0.8129,0.462189899004507,,,,NA,NA,NA,NA
BG10358,18):,0,1,2.24277600000096,0.0342,0.0515149149425745,,,,NA,NA,NA,NA
BG10361,18):,0,1,0.0356259999998656,0.7895,0.454864823519771,,,,NA,NA,NA,NA
BG10362,18):,0,1,0.446525999999722,0.3447,0.262547017346853,,,,NA,NA,NA,NA
BG10363,18):,0,1,1.44416599999977,0.0892,0.102606241084230,,S,S,1.48824400000012,0.0845,0.140638854111927,NA
BG10367,18):,0,1,5.11355900000035,0.0014,0.00441529515863806,C,,C,0.699372999999468,0.2369,0.275628262366276,NA
BG10368,18):,0,1,-0.256736000000274,1,0.515780403053363,,S,S,0.796838000000207,0.2068,0.254711880068893,NA
BG10369,18):,0,1,1.96849100000009,0.0472,0.0655523768768702,,,,NA,NA,NA,NA
BG10370,18):,0,1,1.9540649999999,0.0481,0.0657350507015767,,S,S,2.07102000000123,0.0418,0.0962069095663943,NA
BG10372,18):,0,1,1.38379399999985,0.0962,0.107785900931020,,,,NA,NA,NA,NA
BG10375,18):,0,1,1.50398700000005,0.0829,0.0976617148151894,,,,NA,NA,NA,NA
BG10376,18):,0,1,0.0435330000000249,0.7679,0.447961044071764,,,,NA,NA,NA,NA
BG10394,18):,0,1,0.236761999999544,0.4914,0.336601325034996,,,,NA,NA,NA,NA
BG10395,18):,0,1,26.3392060000006,0,0,C,S,CS,0.26475500000015,0.4668,0.414626643033886,NA
BG10397,18):,0,1,4.06498699999975,0.0044,0.0111013135417186,C,S,CS,0.697869999999966,0.2374,0.275628262366276,NA
BG10401,18):,0,1,19.0600309999991,0,0,C,S,CS,0.185290000001260,0.5427,0.440338036977888,NA
BG10408,18):,0,1,2.06966400000010,0.0419,0.0604084464153256,,,,NA,NA,NA,NA
BG10410,18):,0,1,3.04440500000055,0.0136,0.0264796020170779,C,S,CS,0.0580780000000232,0.7332,0.496738978222949,NA
BG10411,18):,0,1,0.332816999999977,0.4146,0.302107292050969,,,,NA,NA,NA,NA
BG10412,18):,0,1,9.16690800000015,0,0,C,S,CS,0.0509179999999105,0.7496,0.505097487652261,NA
BG10414,18):,0,1,0.00382799999988492,0.9303,0.496829714707087,,,,NA,NA,NA,NA
BG10415,18):,0,1,1.55878099999973,0.0775,0.0927436363079254,,,,NA,NA,NA,NA
BG10422,18):,0,1,1.60057299999994,0.0736,0.0896714845440445,,,,NA,NA,NA,NA
BG10423,18):,0,1,1.25721399999929,0.1128,0.122186535410474,,S,S,0.431490999999369,0.3529,0.364201867599209,NA
BG10428,18):,0,1,1.5625,0.0771,0.0927436363079254,,S,S,4.93571200000042,0.0017,0.0135969385254168,CS2
BG10430,18):,0,1,0.0326349999995728,0.7984,0.455627100728675,,,,NA,NA,NA,NA
BG10431,18):,0,1,0.368132999999943,0.3909,0.289866945109567,,,,NA,NA,NA,NA
BG10432,18):,0,1,1.77914300000020,0.0592,0.0763993686294673,,S,S,1.09903100000020,0.1382,0.199963016706041,NA
BG10433,18):,0,1,2.77078799999799,0.0186,0.0332235610419895,C,,C,4.42134400000214,0.0029,0.0170410610090457,CS2
BG10438,18):,0,1,0.0148319999998421,0.8633,0.482134898017279,,,,NA,NA,NA,NA
BG10439,18):,0,1,0.448115999999573,0.3438,0.262521948571100,,,,NA,NA,NA,NA
BG10442,18):,0,1,0.292310999999927,0.4445,0.311884580383055,,,,NA,NA,NA,NA
BG10443,18):,0,1,0.726846999999907,0.2279,0.202048930346678,,,,NA,NA,NA,NA
BG10445,18):,0,1,0.121737000000394,0.6217,0.392550192182373,,,,NA,NA,NA,NA
BG10446,18):,0,1,1.55078999999978,0.0782,0.093212890368188,,S,S,0.173444999999901,0.5559,0.44354777660654,NA
BG10447,18):,0,1,0.527720000000045,0.3043,0.240550418519698,,S,S,2.0205119999996,0.0444,0.0980648763214202,NA
BG10457,18):,0,1,7.00115700000015,2e-04,0.000910565704037065,C,S,CS,0.0116709999997511,0.8786,0.553566387930908,NA
BG10460,18):,0,1,1.91753099999914,0.0502,0.0677002558972591,,S,S,2.48086799999965,0.0259,0.069696456740509,NA
BG10461,18):,0,1,0.303417999999510,0.436,0.308132990487544,,,,NA,NA,NA,NA
BG10462,18):,0,1,0.164367999999740,0.5664,0.367067908133514,,,,NA,NA,NA,NA
BG10466,18):,0,1,3.11837100000048,0.0125,0.0248166472616659,C,S,CS,1.95855999999912,0.0478,0.098141282877739,NA
BG10467,18):,0,1,0.563239000000067,0.2885,0.233861187059934,,,,NA,NA,NA,NA
BG10468,18):,0,1,10.4529170000005,0,0,C,S,CS,2.80681000000004,0.0178,0.0560221687070241,NA
BG10477,18):,0,1,0.337626,0.4112,0.300352678694243,,,,NA,NA,NA,NA
BG10479,18):,0,1,0.696512999999868,0.2379,0.208774900519750,,S,S,4.37600900000052,0.0031,0.0175019416313323,CS2
BG10480,18):,0,1,9.53579499999978,0,0,C,S,CS,0.0181320000001506,0.849,0.540833978514886,NA
BG10481,18):,0,1,2.70580500000005,0.02,0.0354108884903303,C,,C,1.45414200000005,0.0881,0.144954790679704,NA
BG10483,18):,0,1,7.05501600000025,2e-04,0.000910565704037065,C,S,CS,0.853901999999835,0.1913,0.242491487788839,NA
