"name","NCBI","B.s.","B.li.","B.a.","B.c.","B.t.","B.cl.","B.h.","G.k.","O.i.","C.p.","C.a.","C.t.","C.th.","C.n.","C.c.","C.d.","hamming","HenriUniq"
"YpeP         ","BG11609","+","+","+","+","+","+","+","+","+","-","-","-","-","-","-","-",1,0
"YpzA         ","BG13764","+","+","+","+","+","+","+","+","-","-","-","-","-","-","-","-",NA,1
"YheD         ","BG13036","+","+","+","+","+","-","+","+","+","-","-","-","-","-","-","-",0,0
"YhjR         ","BG13084","+","+","+","+","+","+","+","-","-","-","-","-","-","-","-","-",0,0
"CotV         ","BG10496","+","+","-","+","+","+","+","-","+","-","-","-","-","-","-","-",4,0
"CotW         ","BG10497","+","+","-","+","-","-","+","-","+","-","-","-","-","-","-","-",1,0
"CotX         ","BG10500","+","+","-","+","-","+","+","-","+","-","-","-","-","-","-","-",0,0
"CotY         ","BG10498","+","+","+","+","+","-","-","-","+","-","-","-","-","-","-","-",0,0
"CotZ         ","BG10499","+","+","+","+","+","-","-","-","+","-","-","-","-","-","-","-",0,0
"YodI         ","BG13537","+","+","+","+","+","+","-","-","-","-","-","-","-","-","-","-",0,0
"CotH         ","BG11791","+","+","+","+","+","-","-","-","+","+","-","-","+","-","+","+",1,0
"CotJA        ","BG11799","+","+","+","+","+","-","-","-","-","-","-","-","-","-","-","-",0,0
"CotJB        ","BG11800","+","+","+","+","+","-","-","+","-","+","+","-","+","+","+","+",0,0
"CotP         ","BG12167","+","+","+","+","+","-","-","+","-","-","-","-","-","-","-","-",1,0
"CotQ (YvdP)  ","BG12424","+","-","-","+","-","-","-","-","-","+","-","-","-","-","-","-",0,0
"CotB         ","BG10491","+","-","+","+","+","-","-","+","-","-","-","-","-","-","-","-",0,0
"YxeE         ","BG11881","+","-","+","+","+","-","-","-","-","-","-","-","-","-","-","-",2,0
"CotC         ","BG10492","+","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",1,0
"CotG         ","BG11017","+","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",1,0
"CotR (YvdO)  ","BG12423","+","-","-","-","-","-","-","-","-","-","-","-","-","-","-","+",0,0
"CotT         ","BG10495","+","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",0,0
"CotU         ","BG13471","+","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",1,0
"OxdD         ","BG13484","+","+","-","-","-","+","-","-","-","-","-","-","-","-","-","-",3,0
"YeeK         ","BG12825","+","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",NA,1
"YmaG         ","BG13415","+","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",4,0
"YjdH         ","BG13180","+","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",0,0
"YknT (Cse15) ","BG12251","+","+","+","-","+","-","-","-","-","-","-","-","-","-","-","-",1,0
"YopQ         ","BG13650","+","-","-","-","-","-","-","-","-","-","-","+","-","-","-","-",NA,1
"YsnD         ","BG12335","+","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",0,0
"YtxO         ","BG11382","+","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",1,0
"YuzC         ","BG14052","+","+","-","-","-","-","-","+","-","-","-","-","-","-","-","-",0,0
"YwqH         ","BG12512","+","+","-","-","-","-","-","-","-","-","-","-","-","-","-","-",1,0
"YybI         ","BG10022","+","-","-","-","-","-","-","-","+","+","-","+","+","-","+","-",0,0
