"Name","Bsu","RPBH.Ban.Ames","BGID","Old.Ban.merged.profiles","PAML","ConsistencywithSpceTree","Note","CheckAlignment","Bsu"
"YhbA","BG12236","BA_0545","BG12236","BA_0545 ","YES","good",,"nice","BG12236 "
"YknT","BG12251","BA_1663","BG12251","BA_1663 ","YES",,,"good within clades","BG12251 "
"YsnD","BG12335",,"BG12335","NA","NO",,,"poor ","BG12335 "
"YvdO (CotR)","BG12423",,"BG12423","NA",,,,"Excellent, why so few hits?","BG12423 "
"YvdP (CotQ)","BG12424",,"BG12424","NA",,,,"good, why?","BG12424 "
"YwqH","BG12512",,"BG12512","NA","YES","no cereus","Bli duplication?","poor,repeats?","BG12512 "
"YhaX","BG13000","BA_0870","BG13000","BA_0870 ","YES","nice",,"good  ","BG13000 "
"YheC","BG13035","BA_0861","BG13035","BA_0861 ","YES","nice",,"fair, but good in clades","BG13035 "
"YheD","BG13036","BA_0860","BG13036","BA_0860 ","YES","good","Rm NT02BT0902","good in clades","BG13036 "
"YhjR","BG13084","BA_3113","BG13084","BA_3113 ","YES","ancient duplication?Probably",,"good, Bmo wrong ATG","BG13084 "
"YirY","BG13088","BA_2360","BG13088","BA_2360 ","YES","addition BG?","RM BG10663?Y","fair in clades","BG13088 "
"YisJ","BG13097",,,,,,,,
"YisY","BG13104","BA_5030","BG13104","BA_5030 ","YES","good",,"Good in clades","BG13104 "
"YjbX (CotO)","BG13153","BA_1233","BG13153","BA_1233 ","YES",,"RM NT03BL2896","poor due to repeats","BG13153 "
"YjdH","BG13180",,"BG13180","NA","NO",,,"Excellent,  ","BG13180 "
"YkuD","BG13288",,"BG13288","BA_5274 ","YES",,"RM BG11731, NT03BC2014","good in clades","BG13288 "
"YkvP","BG13318",,"BG13318","NA","NO",,,"poor  ","BG13318 "
"YlbD","BG13356","BA_4146","BG13356","BA_4146 ","YES","nice",,"Excellent,  ","BG13356 "
"YmaG","BG13415","BA_0626","BG13415","BA_0626 BA_4207 ","?","totally weird",,"horrible, repeats","BG13415 "
"YnzH (CotU)","BG13471",,"BG13471-BG10492","NA","YES","need more seq","repeats","fair, repeats","BG10492 BG13471 "
"YoaN (OxdD)","BG13484",,"BG13484","BA_1742 ","?","totally weird",,"fair, but good in clades","BG13484 BG14148 "
"YobN","BG13506","BA_1924","BG13506","BA_1924 ","YES","negative distance in Bli seqs? These Bli genes should be merged.",,"Merge Bli genes","BG13506 "
"YodI","BG13537","BA_3640","BG13537","BA_3640 ","YES",,"Rm BC2687","poor, repeats, but good align in clades","BG13537 "
"SafA","BG13781","BA_4659","BG13781","BA_4659 ","YES","good",,"fair, heavy repeats","BG13781 "
"YtaA (CotI)","BG13821",,"BG13821","NA","NO","duplcations? Hard to say, repeats",,"horrible, repeats","BG13821 "
"YtaB","BG13822","BA_3179","BG13822","BA_3179 ","YES","good",,"good, repeats","BG13822 "
"YusA","BG14013","BA_5219","BG14013","BA_5219 ","YES","good","Rm BcerKBAB4 2592","good in clades","BG14013 "
"YutH","BG14044","BA_5188","BG14044","BA_5188 ","YES","good","Rm NT03BC2987","good in clades, repeats","BG14044 "
"YuzC","BG14052",,"BG14052","NA","?","need more seq",,"fair, repeats","BG14052 "
