bg,NA.2,NA.3,deltalnL,p,q,sig,sigS1,sig2,summary,delCS2,pCS2,qCS2
BG10121,18):,0,18.5741369999996,0,0,C,S,2,CS2,0.374560000000201,0.3868,0.321437635600109
BG10122,18):,0,0.00174500000002809,0.9529,0.49691923817791,,,NA,2,NA,NA,NA
BG10123,18):,0,0.921209999999974,0.1747,0.166822967037866,,,NA,,NA,NA,NA
BG10124,18):,0,0.316346000000522,0.4264,0.301863093390446,,,NA,,NA,NA,NA
BG10125,18):,0,0.384931999999935,0.3803,0.280531425938462,,,NA,2,NA,NA,NA
BG10126,18):,0,1.96353199999999,0.0475,0.0650074086691523,,,NA,2,NA,NA,NA
BG10127,18):,0,6.84327200000007,2e-04,0.000883760849881286,C,S,cs2,CS2,3.87342299999909,0.0054,0.0221214563440074
BG10130,18):,0,0.701274000000922,0.2363,0.205872431639968,,S,cs2,S2,4.86443800000052,0.0018,0.0118986621244282
BG10131,18):,0,0.174892,0.5542,0.357778942765537,,,NA,,NA,NA,NA
BG10132,18):,0,0.574357000001328,0.2838,0.228689710173035,,,NA,,NA,NA,NA
BG10133,18):,0,4.59638699999959,0.0024,0.00690461668247677,C,S,2,CS2,0.278323000000000,0.4556,0.351881979041961
BG10134,18):,0,0.00573200000053475,0.9147,0.487916489432704,,,NA,,NA,NA,NA
BG10136,18):,0,0.226371000000654,0.501,0.336430413166428,,,NA,,NA,NA,NA
BG10137,18):,0,5.04371499999979,0.0015,0.00460961625108534,C,,cs2,C2,2.86377999999968,0.0167,0.0471582358631599
BG10138,18):,0,0.556331000000228,0.2915,0.232401485992219,,,NA,2,NA,NA,NA
BG10139,18):,0,20.6996200000003,0,0,C,S,2,CS2,2.02739799999927,0.044,0.0855232756669718
BG10140,18):,0,0.124059000000670,0.6184,0.387116710942999,,,NA,,NA,NA,NA
BG10141,18):,0,1.06509699999992,0.1444,0.145927542665151,,S,2,S2,0.57481000000007,0.2836,0.264380814553891
BG10142,18):,0,0.0161240000002181,0.8575,0.474027858145135,,,NA,2,NA,NA,NA
BG10143,18):,0,3.24179200000071,0.0109,0.0220635923554943,C,,2,C2,0.0245729999996911,0.8246,0.466841153390341
BG10144,18):,0,0.163871000000654,0.567,0.363607695033479,,,NA,,NA,NA,NA
BG10145,18):,0,6.03010499999982,5e-04,0.00194275014413558,C,S,2,CS2,0.203196000000389,0.5238,0.377105123369254
BG10146,18):,0,3.21570500000007,0.0112,0.0223364689138137,C,S,2,CS2,0.0475750000000517,0.7577,0.444904410805737
BG10147,18):,0,0.575918999999885,0.2832,0.228478544874798,,,NA,2,NA,NA,NA
BG10148,18):,0,0.309128999999302,0.4317,0.302761890615892,,,NA,,NA,NA,NA
BG10149,18):,0,1.47464600000058,0.0859,0.0992194988288221,,,NA,,NA,NA,NA
BG10150,18):,0,0.0222340000000258,0.833,0.464719299082191,,,NA,,NA,NA,NA
BG10151,18):,0,0.00852500000019063,0.8961,0.482735175018043,,,NA,2,NA,NA,NA
BG10152,18):,0,3.10569699999996,0.0127,0.0246022307651050,C,S,2,CS2,2.26735000000008,0.0332,0.0706971603597413
BG10153,18):,0,4.30611699999963,0.0033,0.00881839630642413,C,S,cs2,CS2,3.04579000000012,0.0136,0.0407798362844091
BG10154,18):,0,0.0387330000003203,0.7808,0.447356746410416,,,NA,2,NA,NA,NA
BG10155,18):,0,0.728199000000131,0.2275,0.200009790521735,,,NA,,NA,NA,NA
BG10156,18):,0,0.780797999999777,0.2114,0.191328900138757,,,NA,2,NA,NA,NA
BG10157,18):,0,0.009501999999884,0.8904,0.48235497232511,,,NA,2,NA,NA,NA
BG10158,18):,0,0.0217300000003888,0.8349,0.464956119586410,,,NA,,NA,NA,NA
BG10159,18):,0,0.214759000000413,0.5122,0.341169128168999,,,NA,,NA,NA,NA
BG10161,18):,0,0.637540000000058,0.2588,0.217622811668155,,,NA,,NA,NA,NA
BG10162,18):,0,2.37320199999976,0.0294,0.0454843598962929,C,,2,C2,0.362184999999954,0.3947,0.325215117064085
BG10163,18):,0,0.225793999999951,0.5016,0.336430413166428,,,NA,,NA,NA,NA
BG10164,18):,0,0.695353999999952,0.2383,0.206815354368336,,,NA,,NA,NA,NA
BG10176,18):,0,4.58487599999989,0.0025,0.00716183315846593,C,S,2,CS2,0.97841200000039,0.1619,0.189114925277949
BG10182,18):,0,0.0102559999995719,0.8861,0.481284384824395,,,NA,,NA,NA,NA
BG10185,18):,0,0.0347090000000208,0.7922,0.450509543180085,,,NA,,NA,NA,NA
BG10186,18):,0,0.311833000000661,0.4297,0.302023205585131,,,NA,,NA,NA,NA
BG10187,18):,0,0.376256999999896,0.3857,0.283746374588027,,,NA,2,NA,NA,NA
BG10188,18):,0,0.880842000000484,0.1844,0.173326678648843,,,NA,,NA,NA,NA
BG10189,18):,0,2.38514799999939,0.029,0.0450718033439456,C,S,cs2,CS2,4.80497100000139,0.0019,0.0122805944889160
BG10192,18):,0,5.61954199999946,8e-04,0.00284664021119656,C,,cs2,C2,5.27912800000013,0.0012,0.00918493216622528
BG10193,18):,0,17.1909579999992,0,0,C,S,2,CS2,0.148252000000866,0.5861,0.393456371716949
BG10194,18):,0,0.0357750000002852,0.7891,0.450052977319288,,,NA,,NA,NA,NA
BG10197,18):,0,0.0960660000000644,0.6611,0.402299314005613,,,NA,,NA,NA,NA
BG10198,18):,0,0.0715139999992971,0.7053,0.419751006582106,,,NA,2,NA,NA,NA
BG10200,18):,0,1.9061549999999,0.0509,0.0678738770829101,,,NA,2,NA,NA,NA
BG10201,18):,0,0.227480999999898,0.5,0.336424012721003,,,NA,,NA,NA,NA
BG10203,18):,0,5.05483600000025,0.0015,0.00460961625108534,C,S,2,CS2,0.34049799999957,0.4092,0.332094569191175
BG10206,18):,0,5.56328200000007,9e-04,0.00313643992341889,C,S,2,CS2,0.657935999999609,0.2513,0.246199478031379
BG10207,18):,0,3.81331200000022,0.0058,0.0134750752265404,C,,2,C2,0.124673000000257,0.6175,0.400008228063245
BG10208,18):,0,3.33534500000042,0.0098,0.0205762580483230,C,S,2,CS2,0.551148999999896,0.2938,0.269569549623043
BG10209,18):,0,2.18831999999929,0.0364,0.0530370789349015,,,NA,2,NA,NA,NA
BG10210,18):,0,3.17090000000007,0.0118,0.0233266350639718,C,S,2,CS2,1.23480099999961,0.1161,0.152109923914988
BG10212,18):,0,3.30909800000063,0.0101,0.021075241378419,C,,2,C2,2.35081499999978,0.0301,0.0658253471912812
BG10213,18):,0,0.229827000000114,0.4978,0.33587939677569,,,NA,2,NA,NA,NA
BG10214,18):,0,4.01565599999958,0.0046,0.0113917744715467,C,S,2,CS2,0.332534000000123,0.4148,0.334202619521951
BG10215,18):,0,3.64222900000004,0.007,0.0156706601030274,C,S,2,CS2,0.454038000000764,0.3406,0.300198838487426
BG10216,18):,0,10.8768639999998,0,0,C,S,2,CS2,0.559317999999621,0.2902,0.268141702224151
BG10217,18):,0,3.24799699999994,0.0108,0.0219928678967445,C,S,cs2,CS2,3.67157499999985,0.0067,0.025308265471006
BG10218,18):,0,1.50915499999996,0.0823,0.0964317872237449,,S,2,S2,1.83805499999994,0.0552,0.0907076916754904
BG10219,18):,0,3.29860699999972,0.0102,0.0212184181896113,C,S,2,CS2,0.293053000000327,0.4439,0.347698240824764
BG10220,18):,0,0.0045799999998053,0.9238,0.488912683691015,,,NA,,NA,NA,NA
BG10221,18):,0,0.0306820000005246,0.8044,0.453196982623373,,,NA,2,NA,NA,NA
BG10222,18):,0,1.77841900000021,0.0593,0.0757870870972393,,,NA,2,NA,NA,NA
BG10223,18):,0,0.000642999999399763,0.9714,0.502864660432336,,,NA,,NA,NA,NA
BG10224,18):,0,0.0502239999996164,0.7513,0.43767399732958,,,NA,,NA,NA,NA
BG10226,18):,0,0.62507800000003,0.2635,0.219454776798288,,,NA,,NA,NA,NA
BG10227,18):,0,3.5287100000005,0.0079,0.0173409373255115,C,S,cs2,CS2,7.54322499999944,1e-04,0.00223735527126000
BG10228,18):,0,10.4992560000001,0,0,C,S,2,CS2,1.64026000000013,0.0701,0.106748788413573
BG10229,18):,0,0.046118999999635,0.7614,0.440723515403427,,,NA,2,NA,NA,NA
BG10231,18):,0,2.67598100000032,0.0207,0.0354298606032787,C,S,cs2,CS2,7.57143199999973,1e-04,0.00223735527126000
BG10232,18):,0,0.0960660000000644,0.6611,0.402299314005613,,,NA,,NA,NA,NA
BG10234,18):,0,2.25020900000072,0.0339,0.0502609912289393,,,NA,2,NA,NA,NA
BG10235,18):,0,1.34155199999987,0.1014,0.111470264855514,,,NA,,NA,NA,NA
BG10236,18):,0,5.67774899999995,8e-04,0.00284664021119656,C,S,2,CS2,0.155175999999756,0.5775,0.392451978948236
BG10237,18):,0,3.63508200000024,0.007,0.0156706601030274,C,S,2,CS2,1.59250399999974,0.0743,0.110823664436412
BG10238,18):,0,0.196355000000040,0.5309,0.347388526837112,,,NA,2,NA,NA,NA
BG10241,18):,0,5.09680200000003,0.0014,0.00440236218708305,C,S,2,CS2,1.14930000000004,0.1295,0.165201210489746
BG10243,18):,0,0.00128200000017387,0.9596,0.499152886725219,,,NA,,NA,NA,NA
BG10248,18):,0,3.25080600000001,0.0108,0.0219928678967445,C,,2,C2,0.0418789999998808,0.7723,0.450245374788363
BG10249,18):,0,0.958912000000055,0.1661,0.161039812376973,,,NA,,NA,NA,NA
BG10252,18):,0,3.5468350000001,0.0077,0.0169569813883574,C,,2,C2,2.43740000000071,0.0273,0.0615532857186183
BG10258,18):,0,0.365983000000142,0.3922,0.286329935159110,,,NA,,NA,NA,NA
BG10260,18):,0,0.559655000000021,0.2901,0.232037306353335,,,NA,2,NA,NA,NA
BG10261,18):,0,0.0471260000001621,0.7588,0.440349584258187,,,NA,,NA,NA,NA
BG10262,18):,0,0.190056999999797,0.5375,0.350425664860715,,,NA,,NA,NA,NA
BG10263,18):,0,0.00485000000116997,0.9215,0.488912683691015,,,NA,2,NA,NA,NA
BG10264,18):,0,0.0842900000002373,0.6814,0.411074145752453,,,NA,,NA,NA,NA
BG10265,18):,0,0.32339999999931,0.4213,0.30045491691146,,,NA,,NA,NA,NA
BG10266,18):,0,0.000724999999874854,0.9696,0.502702690057012,,,NA,,NA,NA,NA
BG10268,18):,0,4.50000006821938e-05,0.9924,0.508823469544482,,,NA,2,NA,NA,NA
BG10269,18):,0,0.957351000000017,0.1664,0.161039812376973,,,NA,,NA,NA,NA
BG10270,18):,0,0.0334329999998317,0.796,0.450962579951756,,,NA,,NA,NA,NA
BG10271,18):,0,8.58623100000023,0,0,C,S,cs2,CS2,3.21354899999915,0.0112,0.0346552050527082
BG10272,18):,0,0.638234999998531,0.2586,0.217622811668155,,S,cs2,S2,5.95894399999997,6e-04,0.00727140463159501
BG10273,18):,0,0.743019000000459,0.2228,0.19741804295605,,,NA,,NA,NA,NA
BG10274,18):,0,7.88125900000068,1e-04,0.000512179583453927,C,S,2,CS2,0.183453999999983,0.5447,0.38175750388721
BG10275,18):,0,6.90033600000061,2e-04,0.000883760849881286,C,S,cs2,CS2,5.4174839999996,0.001,0.00855459368422943
BG10276,18):,0,0.666786000000002,0.2482,0.211337939357065,,S,2,S2,0.401104999999916,0.3704,0.317251804388897
BG10277,18):,0,2.12222299999985,0.0394,0.0566753952686635,,,NA,2,NA,NA,NA
BG10279,18):,0,1.79308099999980,0.0583,0.0752200229471,,,NA,,NA,NA,NA
BG10280,18):,0,0.0146749999998974,0.864,0.476061746964695,,,NA,2,NA,NA,NA
BG10281,18):,0,0.897590000000491,0.1803,0.171685481892536,,,NA,,NA,NA,NA
BG10282,18):,0,2.68709399999989,0.0204,0.0352735852256965,C,,2,C2,0.237299000000348,0.4909,0.359650633113349
BG10283,18):,0,6.11185999999998,5e-04,0.00194275014413558,C,,2,C2,-0.209550999999919,1,0.517537696198933
BG10284,18):,0,1.90382700000009,0.051,0.0678738770829101,,,NA,2,NA,NA,NA
BG10285,18):,0,12.0188660000003,0,0,C,S,2,CS2,0.0400659999995696,0.7771,0.450247692367529
BG10287,18):,0,9.96047199999884,0,0,C,S,2,CS2,0.171718999999939,0.5579,0.38543626070944
BG10288,18):,0,0.0357240000003003,0.7892,0.450052977319288,,,NA,2,NA,NA,NA
BG10289,18):,0,4.11276499999985,0.0041,0.0103817075118077,C,S,2,CS2,0.132854999999836,0.6062,0.39886989164812
BG10290,18):,0,2.32123599999977,0.0312,0.0471892706151376,C,S,2,CS2,2.46460399999978,0.0264,0.0604614432359396
BG10291,18):,0,0.116336000000047,0.6295,0.390512028238736,,,NA,,NA,NA,NA
BG10292,18):,0,9.68986799999948,0,0,C,S,2,CS2,-0.00353699999959645,1,0.517537696198933
BG10293,18):,0,1.70096100000046,0.0651,0.0813541884757169,,,NA,2,NA,NA,NA
BG10294,18):,0,2.43108200000006,0.0275,0.0434395300920036,C,,2,C2,0.00574799999958486,0.9146,0.498159301577288
BG10295,18):,0,4.54457600000023,0.0026,0.00738571567400789,C,S,2,CS2,1.97709099999975,0.0468,0.0859763566503058
BG10296,18):,0,0.283609999999953,0.4514,0.312289765735444,,,NA,,NA,NA,NA
BG10298,18):,0,2.21729899999991,0.0352,0.0516223691227836,,S,2,S2,0.0336489999999685,0.7953,0.456248371085406
BG10301,18):,0,2.59999997069826e-05,0.9942,0.508823469544482,,,NA,,NA,NA,NA
BG10302,18):,0,0.635627999999997,0.2595,0.217940365858768,,,NA,2,NA,NA,NA
BG10305,18):,0,2.70468199999959,0.02,0.0347597455094696,C,S,cs2,CS2,3.19648700000016,0.0115,0.0348421471930594
BG10306,18):,0,3.79850399999987,0.0058,0.0134750752265404,C,S,2,CS2,0.33960100000013,0.4099,0.332094569191175
BG10308,18):,0,7.22328300000027,1e-04,0.000512179583453927,C,,NA,C,NA,NA,NA
BG10309,18):,0,0.0328479999998308,0.7977,0.450962579951756,,,NA,,NA,NA,NA
BG10312,18):,0,1.77135999999973,0.0598,0.0759793908152628,,S,2,S2,0.247573999999986,0.4816,0.359292934737636
BG10313,18):,0,0.313571999999112,0.4284,0.302023205585131,,,NA,2,NA,NA,NA
BG10314,18):,0,0.781918000000587,0.2111,0.191313492343973,,S,2,S2,0.199789000000237,0.5273,0.377255479608748
BG10322,18):,0,19.1517119999990,0,0,C,S,2,CS2,1.94775800000025,0.0484,0.086364658691828
BG10324,18):,0,1.57826100000011,0.0756,0.0909455960712354,,S,2,S2,0.997162000000117,0.1579,0.187453843482262
BG10325,18):,0,0.678668000000016,0.244,0.209506766494196,,,NA,,NA,NA,NA
BG10326,18):,0,4.22522099999969,0.0036,0.00939720996360255,C,S,cs2,CS2,5.73604400000022,7e-04,0.00727140463159501
BG10327,18):,0,9.85100599999987,0,0,C,S,cs2,CS2,4.58370600000035,0.0025,0.0151487596491563
BG10328,18):,0,0.372268000000076,0.3882,0.285275120512821,,,NA,2,NA,NA,NA
BG10329,18):,0,1.61974999999984,0.0719,0.0875854773089104,,,NA,2,NA,NA,NA
BG10330,18):,0,1.41511100000025,0.0925,0.104228545232874,,,NA,,NA,NA,NA
BG10331,18):,0,2.08872699999938,0.041,0.0583561243295295,,,NA,2,NA,NA,NA
BG10332,18):,0,12.8309180000006,0,0,C,S,2,CS2,0.862643999999818,0.189,0.206369388591935
BG10333,18):,0,0.00686100000007173,0.9067,0.486121380951096,,,NA,,NA,NA,NA
BG10334,18):,0,0.167933000000176,0.5622,0.361646543862505,,,NA,2,NA,NA,NA
BG10337,18):,0,7.66848700000082,1e-04,0.000512179583453927,C,,2,C2,1.32246399999985,0.1039,0.139907211337541
BG10338,18):,0,0.878700999999637,0.1849,0.173326678648843,,,NA,2,NA,NA,NA
BG10339,18):,0,6.9352399999998,2e-04,0.000883760849881286,C,S,cs2,CS2,3.31367200000022,0.01,0.0326804702543596
BG10340,18):,0,0.108267000000524,0.6417,0.394757637021973,,,NA,2,NA,NA,NA
BG10341,18):,0,0.225481999999829,0.5019,0.336430413166428,,,NA,2,NA,NA,NA
BG10342,18):,0,0.0518860000001951,0.7473,0.436297391695991,,,NA,,NA,NA,NA
BG10343,18):,0,2.67490499999985,0.0207,0.0354298606032787,C,,cs2,C2,6.17462199999954,4e-04,0.00581712370527601
BG10345,18):,0,5.72756699999991,7e-04,0.00257203225604037,C,S,2,CS2,0.24019700000008,0.4882,0.359483518090601
BG10346,18):,0,11.4828370000014,0,0,C,S,2,CS2,1.38795099999879,0.0957,0.135780180145101
BG10347,18):,0,0.164703000000372,0.566,0.363607695033479,,,NA,2,NA,NA,NA
BG10348,18):,0,0.508597000000009,0.3132,0.242273835365968,,,NA,,NA,NA,NA
BG10349,18):,0,6.05144700000164,5e-04,0.00194275014413558,C,S,2,CS2,1.23675000000003,0.1158,0.152109923914988
BG10350,18):,0,3.67246999999952,0.0067,0.0151495526289850,C,,cs2,C2,4.779853,0.002,0.0123768589473958
BG10351,18):,0,0.573424000000159,0.2842,0.228739401970524,,,NA,,NA,NA,NA
BG10352,18):,0,0.311187000000245,0.4302,0.302023205585131,,,NA,2,NA,NA,NA
BG10353,18):,0,3.00475200000028,0.0142,0.027119474893391,C,,2,C2,0.0246990000000551,0.8241,0.466841153390341
BG10354,18):,0,0.128804999999829,0.6118,0.38405193991401,,,NA,,NA,NA,NA
BG10355,18):,0,0.0100899999999911,0.887,0.481284384824395,,,NA,,NA,NA,NA
BG10356,18):,0,1.68919000000005,0.0661,0.0821483327491214,,,NA,2,NA,NA,NA
BG10357,18):,0,0.0280070000007981,0.8129,0.457223822025291,,,NA,,NA,NA,NA
BG10358,18):,0,2.24277600000096,0.0342,0.0505948251979083,,,NA,2,NA,NA,NA
BG10361,18):,0,0.0356259999998656,0.7895,0.450052977319288,,,NA,2,NA,NA,NA
BG10362,18):,0,0.446525999999722,0.3447,0.258937510210967,,,NA,,NA,NA,NA
BG10363,18):,0,1.44416599999977,0.0892,0.101810591195978,,S,2,S2,1.48824400000012,0.0845,0.122886738273956
BG10367,18):,0,5.11355900000035,0.0014,0.00440236218708305,C,,2,C2,0.699372999999468,0.2369,0.235662997889509
BG10368,18):,0,-0.256736000000274,1,0.509477807203605,,S,2,S2,0.796838000000207,0.2068,0.216782020095897
BG10369,18):,0,1.96849100000009,0.0472,0.0648594243242143,,,NA,2,NA,NA,NA
BG10370,18):,0,1.9540649999999,0.0481,0.0651689501255646,,S,2,S2,2.07102000000123,0.0418,0.0832725242741566
BG10372,18):,0,1.38379399999985,0.0962,0.107082598569621,,,NA,,NA,NA,NA
BG10375,18):,0,1.50398700000005,0.0829,0.0969667603082981,,,NA,,NA,NA,NA
BG10376,18):,0,0.0435330000000249,0.7679,0.442968913666584,,,NA,2,NA,NA,NA
BG10382,18):,0,0.177800999999818,0.551,0.356911804108892,,,NA,,NA,NA,NA
BG10394,18):,0,0.236761999999544,0.4914,0.332890042533289,,,NA,,NA,NA,NA
BG10395,18):,0,26.3392060000006,0,0,C,S,2,CS2,0.26475500000015,0.4668,0.356336897129473
BG10397,18):,0,4.06498699999975,0.0044,0.0110175519285200,C,S,2,CS2,0.697869999999966,0.2374,0.235662997889509
BG10401,18):,0,19.0600309999991,0,0,C,S,2,CS2,0.185290000001260,0.5427,0.381415031351974
BG10402,18):,0,0.110340000000178,0.6385,0.393864230407517,,,NA,,NA,NA,NA
BG10404,18):,0,6.61203399999977,3e-04,0.00125977090091773,C,S,2,CS2,0.120152000000417,0.624,0.400649579701129
BG10408,18):,0,2.06966400000010,0.0419,0.0595118243732558,,,NA,2,NA,NA,NA
BG10410,18):,0,3.04440500000055,0.0136,0.0261211587561503,C,S,2,CS2,0.0580780000000232,0.7332,0.435215826602895
BG10411,18):,0,0.332816999999977,0.4146,0.298193132974465,,,NA,,NA,NA,NA
BG10412,18):,0,9.16690800000015,0,0,C,S,2,CS2,0.0509179999999105,0.7496,0.442950961249618
BG10413,18):,0,0.0103070000000116,0.8858,0.481284384824395,,,NA,2,NA,NA,NA
BG10414,18):,0,0.00382799999988492,0.9303,0.490445007848757,,,NA,2,NA,NA,NA
BG10415,18):,0,1.55878099999973,0.0775,0.091922756819889,,,NA,2,NA,NA,NA
BG10419,18):,0,2.78137800000013,0.0183,0.0324729921730001,C,S,2,CS2,0.193776000000071,0.5336,0.378609624573879
BG10422,18):,0,1.60057299999994,0.0736,0.0888558408780641,,,NA,2,NA,NA,NA
BG10423,18):,0,1.25721399999929,0.1128,0.121629172660217,,S,2,S2,0.431490999999369,0.3529,0.309166107769865
BG10428,18):,0,1.5625,0.0771,0.091922756819889,,S,cs2,S2,4.93571200000042,0.0017,0.0117727503559157
BG10429,18):,0,3.80911999999989,0.0058,0.0134750752265404,C,S,2,CS2,0.0403930000002219,0.7762,0.450247692367529
BG10430,18):,0,0.0326349999995728,0.7984,0.450962579951756,,,NA,,NA,NA,NA
BG10431,18):,0,0.368132999999943,0.3909,0.286162050126901,,,NA,2,NA,NA,NA
BG10432,18):,0,1.77914300000020,0.0592,0.0757870870972393,,S,2,S2,1.09903100000020,0.1382,0.171779165826740
BG10433,18):,0,2.77078799999799,0.0186,0.0326624237219761,C,,cs2,C2,4.42134400000214,0.0029,0.0153360534048186
BG10438,18):,0,0.0148319999998421,0.8633,0.476061746964695,,,NA,,NA,NA,NA
BG10439,18):,0,0.448115999999573,0.3438,0.25883662566228,,,NA,2,NA,NA,NA
BG10442,18):,0,0.292310999999927,0.4445,0.308221793636674,,,NA,,NA,NA,NA
BG10443,18):,0,0.726846999999907,0.2279,0.200101246404257,,,NA,,NA,NA,NA
BG10445,18):,0,0.121737000000394,0.6217,0.388463125770762,,,NA,,NA,NA,NA
