Locus	Gene Symbol	Common Name	5' End	3' End	EC Number	Organism	HMM Hit	HMM Score	
NT08CB0746	 	GGDEF domain protein	780721	786075	 	Clostridium beijerinckii NCIMB 8052	TIGR02906	-206.7	
NT08CB0853	 	tellurite resistance protein taxon:176280	912083	913228	 	Clostridium beijerinckii NCIMB 8052	TIGR02906	-203.1	
NT08CB0957	 	spore coat protein S taxon:212717	1032744	1031677	 	Clostridium beijerinckii NCIMB 8052	TIGR02906	276.3	
NT08CB1049	 	D-alanyl-D-alanine carboxypeptidase	1120068	1118731	3.4.16.4	Clostridium beijerinckii NCIMB 8052	TIGR02906	-207.3	
NT08CB2039	 	poly(A) polymerase	2186082	2187413	2.7.7.25	Clostridium beijerinckii NCIMB 8052	TIGR02906	-200.3	
NT08CB2226	 	SEC-C motif domain protein	2396471	2397790	 	Clostridium beijerinckii NCIMB 8052	TIGR02906	-206.0	
NT08CB2324	 	response regulator receiver domain protein	2521745	2524993	 	Clostridium beijerinckii NCIMB 8052	TIGR02906	-199.6	
NT08CB2569	 	xylose import ATP-binding protein XylG . taxon:74109	2746020	2747597	3.6.3.17	Clostridium beijerinckii NCIMB 8052	TIGR02906	-204.8	
NT08CB3561	 	Methyl-accepting chemotaxis protein (MCP) signaling domain	3866477	3864570	 	Clostridium beijerinckii NCIMB 8052	TIGR02906	-206.9	
NT08CB3607	 	transcriptional regulator taxon:420246	3917118	3916081	 	Clostridium beijerinckii NCIMB 8052	TIGR02906	-203.4	
NT08CB3789	 	Phosphotransferase enzyme family, putative	4093294	4094217	 	Clostridium beijerinckii NCIMB 8052	TIGR02906	-200.8	
NT08CB4061	 	HAMP domain protein	4369593	4367902	 	Clostridium beijerinckii NCIMB 8052	TIGR02906	-201.7	
NT08CB4972	 	YhgE/Pip N-terminal domain protein	5444290	5442188	 	Clostridium beijerinckii NCIMB 8052	TIGR02906	-195.0	
NT08CB5094	 	glycoside hydrolase, family 4 taxon:399742	5619713	5618385	 	Clostridium beijerinckii NCIMB 8052	TIGR02906	-205.3	
NT08CB5359	 	ATP-dependent rna helicase, dead/deah box family taxon:195103	5915019	5916596	 	Clostridium beijerinckii NCIMB 8052	TIGR02906	-206.2	
NT08CB5365	 	Phosphotransferase enzyme family, putative	5924017	5923058	 	Clostridium beijerinckii NCIMB 8052	TIGR02906	-155.2	
CLB_0145	 	spore coat protein, CotS family	138525	139535	 	Clostridium botulinum A ATCC 19397	TIGR02906	395.1	
CLB_0147	 	conserved hypothetical protein	139771	140538	 	Clostridium botulinum A ATCC 19397	TIGR02906	-142.4	
CLB_0148	 	spore coat protein, CotS family	140551	141564	 	Clostridium botulinum A ATCC 19397	TIGR02906	390.3	
CLB_0150	cotS	spore coat protein CotS	143163	144167	 	Clostridium botulinum A ATCC 19397	TIGR02906	494.2	
CLB_1741	 	spore coat protein, CotS family	1854722	1853664	 	Clostridium botulinum A ATCC 19397	TIGR02906	373.3	
CLB_2904	 	spore coat protein homolog	3063424	3064494	 	Clostridium botulinum A ATCC 19397	TIGR02906	297.0	
CLC_0157	 	putative spore coat protein	138527	139537	 	Clostridium botulinum A Hall	TIGR02906	395.1	
CLC_0159	 	conserved hypothetical protein	139773	140540	 	Clostridium botulinum A Hall	TIGR02906	-142.4	
CLC_0160	 	putative spore coat protein	140553	141566	 	Clostridium botulinum A Hall	TIGR02906	390.3	
CLC_0162	cotS	spore coat protein CotS	143165	144169	 	Clostridium botulinum A Hall	TIGR02906	494.2	
CLC_1748	 	putative spore coat protein	1855207	1854149	 	Clostridium botulinum A Hall	TIGR02906	373.3	
CLC_2836	 	spore coat protein homolog	3000346	3001416	 	Clostridium botulinum A Hall	TIGR02906	297.0	
CLK_3284	 	spore coat protein, CotS family	139506	140516	 	Clostridium botulinum A3 strain Loch Maree	TIGR02906	400.8	
CLK_3286	 	conserved hypothetical protein	140752	141519	 	Clostridium botulinum A3 strain Loch Maree	TIGR02906	-140.1	
CLK_3287	 	spore coat protein, CotS family	141532	142545	 	Clostridium botulinum A3 strain Loch Maree	TIGR02906	383.0	
CLK_3289	cotS	spore coat protein CotS	143964	144968	 	Clostridium botulinum A3 strain Loch Maree	TIGR02906	493.6	
CLK_1187	 	spore coat protein, CotS family	1985504	1984446	 	Clostridium botulinum A3 strain Loch Maree	TIGR02906	382.8	
CLK_2325	 	spore coat protein homolog	3196705	3197775	 	Clostridium botulinum A3 strain Loch Maree	TIGR02906	297.6	
CLD_0677	 	spore coat protein, CotS family	145515	146525	 	Clostridium botulinum B1 strain Okra	TIGR02906	403.9	
CLD_0675	 	conserved hypothetical protein	146761	147528	 	Clostridium botulinum B1 strain Okra	TIGR02906	-148.7	
CLD_0674	 	spore coat protein, CotS family	147541	148554	 	Clostridium botulinum B1 strain Okra	TIGR02906	397.8	
CLD_0672	cotS	spore coat protein CotS	150152	151156	 	Clostridium botulinum B1 strain Okra	TIGR02906	495.6	
CLD_2834	 	spore coat protein, CotS family	1926279	1925221	 	Clostridium botulinum B1 strain Okra	TIGR02906	378.5	
CLD_1605	 	spore coat protein homolog	3188388	3189458	 	Clostridium botulinum B1 strain Okra	TIGR02906	287.2	
CLI_0164	 	spore coat protein, CotS family	140531	141541	 	Clostridium botulinum F Langeland	TIGR02906	394.8	
CLI_0166	 	conserved hypothetical protein	141777	142544	 	Clostridium botulinum F Langeland	TIGR02906	-145.1	
CLI_0167	 	spore coat protein, CotS family	142557	143570	 	Clostridium botulinum F Langeland	TIGR02906	392.2	
CLI_0169	cotS	spore coat protein CotS	145168	146172	 	Clostridium botulinum F Langeland	TIGR02906	495.6	
CLI_1801	 	spore coat protein, CotS family	1931762	1930704	 	Clostridium botulinum F Langeland	TIGR02906	370.1	
CLI_2993	 	spore coat protein homolog	3170930	3172000	 	Clostridium botulinum F Langeland	TIGR02906	288.9	
CBO0109	 	spore coat protein	145722	146732	 	Clostridium botulinum Hall A Sanger	TIGR02906	395.1	
NT02CB0142	 	spore coat protein, putative	145722	146732	 	Clostridium botulinum Hall A Sanger	TIGR02906	395.1	
CBO0111	 	spore coat protein	146968	147735	 	Clostridium botulinum Hall A Sanger	TIGR02906	-142.4	
NT02CB0144	 	conserved hypothetical protein	146968	147735	 	Clostridium botulinum Hall A Sanger	TIGR02906	-142.4	
CBO0112	 	spore coat protein	147748	148761	 	Clostridium botulinum Hall A Sanger	TIGR02906	390.3	
NT02CB0145	 	spore coat protein, putative	147748	148761	 	Clostridium botulinum Hall A Sanger	TIGR02906	390.3	
CBO0114	 	spore coat protein	150360	151364	 	Clostridium botulinum Hall A Sanger	TIGR02906	494.2	
NT02CB0147	cotS	spore coat protein CotS	150360	151364	 	Clostridium botulinum Hall A Sanger	TIGR02906	494.2	
CBO1806	cotS	spore coat protein S	1926083	1925025	 	Clostridium botulinum Hall A Sanger	TIGR02906	373.3	
NT02CB1799	 	spore coat protein, putative	1926083	1925025	 	Clostridium botulinum Hall A Sanger	TIGR02906	373.3	
NT02CB2927	 	spore coat protein homolog	3130581	3131651	 	Clostridium botulinum Hall A Sanger	TIGR02906	297.0	
CBO2941	cotS	putative spore coat protein S	3130581	3131651	 	Clostridium botulinum Hall A Sanger	TIGR02906	297.0	
NT01CN0132	 	Heme NO binding domain protein	120602	122401	 	Clostridium novyi NT	TIGR02906	-206.6	
NT01CN0695	 	cell division protease FtsH . taxon:98794	761273	759555	3.4.24.-	Clostridium novyi NT	TIGR02906	-206.7	
NT01CN1005	 	flagellar cap protein FliD taxon:386415	1087569	1089080	 	Clostridium novyi NT	TIGR02906	-203.9	
NT01CN1020	 	choline kinase taxon:386415	1102390	1103280	 	Clostridium novyi NT	TIGR02906	-197.6	
NT01CN1134	 	Type III restriction enzyme, res subunit family	1205628	1208522	 	Clostridium novyi NT	TIGR02906	-201.1	
NT01CN1537	purH	bifunctional purine biosynthesis protein PurH	1640768	1639266	2.1.2.3 3.5.4.10	Clostridium novyi NT	TIGR02906	-206.9	
NT01CN1595	 	spore coat protein S taxon:212717	1698161	1699216	 	Clostridium novyi NT	TIGR02906	282.3	
NT01CN1839	 	YhgE/Pip N-terminal domain protein	1970415	1968256	 	Clostridium novyi NT	TIGR02906	-198.2	
NT01CN2123	 	spore coat protein taxon:386415	2251881	2250871	 	Clostridium novyi NT	TIGR02906	492.4	
NT01CN2137	 	spore coat protein S taxon:212717	2264684	2263713	 	Clostridium novyi NT	TIGR02906	370.8	
NT01CN2138	 	spore coat protein,putative taxon:386415	2265537	2264725	 	Clostridium novyi NT	TIGR02906	-147.5	
NT01CN2139	 	spore coat protein S taxon:212717	2266597	2265569	 	Clostridium novyi NT	TIGR02906	423.8	
NT01CN2189	 	conserved hypothetical protein	2321192	2319855	 	Clostridium novyi NT	TIGR02906	-203.0	
NT01CN2251	phoR	alkaline phosphatase synthesis sensor protein PhoR	2390901	2392292	 	Clostridium novyi NT	TIGR02906	-202.4	
NT03CP1274	 	MdsC protein	1403120	1402014	 	Clostridium perfringens 13	TIGR02906	-183.1	
CPE1200	 	hypothetical protein	1403120	1402014	 	Clostridium perfringens 13	TIGR02906	-183.1	
CPE1887	 	probable transposase	2170379	2169225	 	Clostridium perfringens 13	TIGR02906	-182.3	
CPE2010	cotS	probable spore coat protein	2302395	2303474	 	Clostridium perfringens 13	TIGR02906	253.9	
NT03CP2106.1	cotS	probable spore coat protein	2302395	2303474	 	Clostridium perfringens 13	TIGR02906	253.9	
NT03CP2317	cotS	spore coat protein CotS	2541033	2540029	 	Clostridium perfringens 13	TIGR02906	511.8	
CPE2218	cotS	probable spore coat protein	2541033	2540029	 	Clostridium perfringens 13	TIGR02906	511.8	
NT03CP2319	 	spore coat protein, putative	2543480	2542452	 	Clostridium perfringens 13	TIGR02906	519.4	
CPE2220	cotS	probable spore coat protein	2543480	2542452	 	Clostridium perfringens 13	TIGR02906	519.4	
NT03CP2321	 	spore coat protein, putative	2545194	2544187	 	Clostridium perfringens 13	TIGR02906	564.3	
CPE2222	cotS	probable spore coat protein	2545194	2544187	 	Clostridium perfringens 13	TIGR02906	564.3	
CPF_0213	 	putative iron chelate uptake ABC transporter, solute-binding protein	262491	263378	 	Clostridium perfringens ATCC13124	TIGR02906	-198.5	
CPF_0608	 	transcriptional regulator, MarR family/choline/ethanolamine kinase	733418	735286	 	Clostridium perfringens ATCC13124	TIGR02906	-198.4	
CPF_1410	 	MdsC protein	1589198	1588092	 	Clostridium perfringens ATCC13124	TIGR02906	-180.1	
CPF_2267	 	putative spore coat protein	2516254	2517333	 	Clostridium perfringens ATCC13124	TIGR02906	255.4	
CPF_2482	cotS	spore coat protein CotS	2755060	2754056	 	Clostridium perfringens ATCC13124	TIGR02906	516.4	
CPF_2484	 	putative spore coat protein	2757507	2756479	 	Clostridium perfringens ATCC13124	TIGR02906	507.2	
CPF_2486	 	putative spore coat protein	2759221	2758214	 	Clostridium perfringens ATCC13124	TIGR02906	549.6	
CPR_0126	 	ISCpe2, transposase orfB	157851	156697	 	Clostridium perfringens SM101	TIGR02906	-183.1	
CPR_0168	 	ISCpe2, transposase orfB	207441	208595	 	Clostridium perfringens SM101	TIGR02906	-182.8	
CPR_0245	 	ISCpe2, transposase orfB	297960	299114	 	Clostridium perfringens SM101	TIGR02906	-183.1	
CPR_0327	 	hypothetical protein	390069	391655	 	Clostridium perfringens SM101	TIGR02906	-200.0	
CPR_0407	 	ISCpe2, transposase orfB	492792	493946	 	Clostridium perfringens SM101	TIGR02906	-182.8	
CPR_0421	 	helicase/exonuclease	507618	510230	 	Clostridium perfringens SM101	TIGR02906	-199.9	
CPR_0472	 	ISCpe2, transposase orfB	560891	562045	 	Clostridium perfringens SM101	TIGR02906	-183.6	
CPR_0547	 	ISCpe2, transposase orfB	646993	648147	 	Clostridium perfringens SM101	TIGR02906	-193.8	
CPR_0594	 	choline/ehtanolamine kinase family protein	711069	712937	 	Clostridium perfringens SM101	TIGR02906	-196.8	
CPR_0617	 	AAA domain family protein	736650	737783	 	Clostridium perfringens SM101	TIGR02906	-198.0	
CPR_0626	 	ISCpe2, transposase orfB	745910	747064	 	Clostridium perfringens SM101	TIGR02906	-183.0	
CPR_0679	 	ISCpe2, transposase orfB	800668	801822	 	Clostridium perfringens SM101	TIGR02906	-185.1	
CPR_0711	 	ISCpe2, transposase orfB	831194	832348	 	Clostridium perfringens SM101	TIGR02906	-187.0	
CPR_0723	 	ISCpe2, transposase orfB	845211	846365	 	Clostridium perfringens SM101	TIGR02906	-186.4	
CPR_0772	 	ISCpe2, transposase orfB	899011	900162	 	Clostridium perfringens SM101	TIGR02906	-190.0	
CPR_0889	 	ISCpe2, transposase orfB	1022942	1024096	 	Clostridium perfringens SM101	TIGR02906	-191.5	
CPR_0989	 	ISCpe2, transposase orfB	1129871	1131025	 	Clostridium perfringens SM101	TIGR02906	-182.9	
CPR_1031	 	ISCpe2, transposase orfB	1172066	1173220	 	Clostridium perfringens SM101	TIGR02906	-184.9	
CPR_1049	 	ISCpe2, transposase orfB	1195958	1194804	 	Clostridium perfringens SM101	TIGR02906	-186.5	
CPR_1565	 	ISCpe2, transposase orfB	1759105	1757951	 	Clostridium perfringens SM101	TIGR02906	-187.1	
CPR_1583	 	ISCpe2, transposase orfB	1773071	1771917	 	Clostridium perfringens SM101	TIGR02906	-193.6	
CPR_1978	 	uncharacterized protein, related to B. subtilis spore coat                protein COTS [imported]	2185546	2186625	 	Clostridium perfringens SM101	TIGR02906	262.3	
CPR_2192	cotS	spore coat protein CotS	2421601	2420600	 	Clostridium perfringens SM101	TIGR02906	515.0	
CPR_2194	 	spore coat protein, putative	2424047	2423019	 	Clostridium perfringens SM101	TIGR02906	496.7	
CPR_2196	 	spore coat protein, putative	2425761	2424754	 	Clostridium perfringens SM101	TIGR02906	540.1	
NT15CP0304	mraW	S-adenosyl-methyltransferase MraW	342009	343130	2.1.1.-	Clostridium phytofermentans ISDg	TIGR02906	-203.7	
NT15CP0328	 	glycosyl transferase family 4, putative	371936	374809	 	Clostridium phytofermentans ISDg	TIGR02906	-196.7	
NT15CP0441	 	transcriptional regulator, AraC family protein	491925	494183	 	Clostridium phytofermentans ISDg	TIGR02906	-199.1	
NT15CP0638	 	MdsC protein taxon:195103	734224	735336	 	Clostridium phytofermentans ISDg	TIGR02906	-185.6	
NT15CP1547	 	transposase (02) taxon:272558	1777269	1776094	 	Clostridium phytofermentans ISDg	TIGR02906	-206.2	
NT15CP1746	 	Methyl-accepting chemotaxis protein (MCP) signaling domain	2016021	2017391	 	Clostridium phytofermentans ISDg	TIGR02906	-202.0	
NT15CP1992	 	conserved hypothetical protein	2301299	2302306	 	Clostridium phytofermentans ISDg	TIGR02906	-151.6	
NT15CP2257	 	Phosphotransferase enzyme family, putative	2608428	2609351	 	Clostridium phytofermentans ISDg	TIGR02906	-90.9	
NT15CP2343	 	transcriptional regulator, AraC family protein	2702664	2700406	 	Clostridium phytofermentans ISDg	TIGR02906	-207.1	
NT15CP2489	 	metal dependent phosphohydrolase taxon:349161	2866249	2864987	 	Clostridium phytofermentans ISDg	TIGR02906	-206.1	
NT15CP2716	 	conserved hypothetical protein	3121041	3120070	 	Clostridium phytofermentans ISDg	TIGR02906	-124.9	
NT15CP3095	 	conserved hypothetical protein	3555202	3553805	 	Clostridium phytofermentans ISDg	TIGR02906	-207.2	
NT15CP3425	 	Phosphotransferase enzyme family, putative	3897300	3896293	 	Clostridium phytofermentans ISDg	TIGR02906	-171.1	
NT15CP3557	cysS	cysteinyl-tRNA synthetase	4047989	4046577	6.1.1.16	Clostridium phytofermentans ISDg	TIGR02906	-205.2	
NT15CP3570	 	possible aminoglycoside phosphotransferase (protein kinase related), diverged taxon:272562, putative	4060827	4060078	 	Clostridium phytofermentans ISDg	TIGR02906	-196.3	
NT15CP4013	 	protein kinase domain	4603992	4602556	 	Clostridium phytofermentans ISDg	TIGR02906	-206.2	
NT15CP4087	 	spore coat protein, CotS family	4683078	4682035	 	Clostridium phytofermentans ISDg	TIGR02906	101.3	
NT15CP4197	 	aminoglycoside phosphotransferase taxon:203119	4826486	4825740	 	Clostridium phytofermentans ISDg	TIGR02906	-201.6	
NT15CP4212	trmE	tRNA modification GTPase TrmE	4843320	4841935	 	Clostridium phytofermentans ISDg	TIGR02906	-202.5	
CTC_00269	 	spore coat protein S	245444	246469	 	Clostridium tetani E88	TIGR02906	391.0	
NT02CT0243	 	spore coat protein S	245471	246469	 	Clostridium tetani E88	TIGR02906	391.0	
CTC_00270	 	putative spore coat protein	246444	247214	 	Clostridium tetani E88	TIGR02906	-127.1	
NT02CT0244	 	spore coat protein S	246462	247214	 	Clostridium tetani E88	TIGR02906	-137.9	
NT02CT0245	 	spore coat protein S	247225	248241	 	Clostridium tetani E88	TIGR02906	348.5	
CTC_00271	 	spore coat protein S	247225	248241	 	Clostridium tetani E88	TIGR02906	348.5	
CTC_00273	 	spore coat protein	249564	250577	 	Clostridium tetani E88	TIGR02906	460.9	
NT02CT0247	 	spore coat protein	249576	250577	 	Clostridium tetani E88	TIGR02906	460.9	
NT02CT1375	 	spore coat protein S	1412651	1411596	 	Clostridium tetani E88	TIGR02906	526.8	
CTC_01311	 	spore coat protein S	1412672	1411596	 	Clostridium tetani E88	TIGR02906	526.8	
NT02CT2132	 	spore coat protein S	2142648	2143715	 	Clostridium tetani E88	TIGR02906	504.1	
CTC_02013	 	spore coat protein S	2142648	2143715	 	Clostridium tetani E88	TIGR02906	504.1	
COXBU7E912_0977	 	hypothetical protein	961363	962337	 	Coxiella burnetii Dugway 7E9-12	TIGR02906	-147.4	
COXBU7E912_2075	 	phosphotransferase enzyme family protein	2049518	2048529	 	Coxiella burnetii Dugway 7E9-12	TIGR02906	-185.2	
COXBURSA331_A0107	 	phosphotransferase enzyme family protein	96138	97127	 	Coxiella burnetii RSA 331	TIGR02906	-178.1	
