BCE_4731	BG12557
BCE_1145	BG10464
BCE_5468	BG10410
BCE_4589	BG11964
BCE_1598	BG10531
BCE_1599	BG10532
BCE_1600	BG10533
BCE_3891	BG11537
BCE_5638	BG10063
BCE_4231	BG10588
BCE_0098	BG10164
BCE_0113	BG11217
BCE_0110	BG11218
BCE_0111	BG11219
BCE_0122	BG10760
BCE_0125	BG11408
BCE_5620	BG10009
BCE_0099	BG11220
BCE_0100	BG10726
BCE_0143	BG11970
BCE_0120	BG10758
BCE_0129	BG10444
BCE_0117	BG10755
BCE_0138	BG11041
BCE_0126	BG11409
BCE_3882	BG12667
BCE_4704	BG11971
BCE_4536	BG10333
BCE_0115	BG11078
BCE_0112	BG11221
BCE_0121	BG10759
BCE_4534	BG10335
BCE_3900	BG10777
BCE_0118	BG10756
BCE_0128	BG10443
BCE_3969	BG12668
BCE_4346	BG14180
BCE_0094	BG10160
BCE_5639	BG10064
BCE_4705	BG11972
BCE_0134	BG11042
BCE_0137	BG10732
BCE_0102	BG10728
BCE_0103	BG10729
BCE_3868	BG19004
BCE_0116	BG19005
BCE_4793	BG10372
BCE_0127	BG10442
BCE_5625	BG10049
BCE_0106	BG19006
BCE_0124	BG10762
BCE_0144	BG19007
BCE_0109	BG19008
BCE_0136	BG10731
BCE_0105	BG19009
BCE_0135	BG10730
BCE_0123	BG10761
BCE_3846	BG19010
BCE_3886	BG10831
BCE_0119	BG10757
BCE_5623	BG10047
BCE_0114	BG19011
BCE_4403	BG11643
BCE_4390	BG11648
BCE_5295	BG10741
BCE_0095	BG10161
BCE_0130	BG10445
BCE_0013	BG10077
BCE_4372	BG10314
BCE_3890	BG11538
BCE_0049	BG10116
BCE_5624	BG10048
BCE_5548	BG10450
BCE_5311	BG12684
BCE_3718	BG11247
BCE_0028	BG10092
BCE_3875	BG11007
BCE_5240	BG10897
BCE_3883	BG12687
BCE_4479	BG13787
BCE_1297	BG10799
BCE_4648	BG10348
BCE_5262	BG12398
BCE_3867	BG19025
BCE_0108	BG11056
BCE_4796	BG10371
BCE_4549	BG10321
BCE_0061	BG10130
BCE_0085	BG10152
BCE_0086	BG10153
BCE_0157	BG12704
BCE_0279	BG12199
BCE_0280	BG12200
BCE_0365	BG12787
BCE_0393	BG12788
BCE_0352	BG12843
BCE_1214	BG13018
BCE_0230	BG13021
BCE_4026	BG11813
BCE_4030	BG13301
BCE_4029	BG13302
BCE_3996	BG13351
BCE_3903	BG13392
BCE_3880	BG13405
BCE_3813	BG13420
BCE_3624	BG11826
BCE_1631	BG11443
BCE_4125	BG10524
BCE_4124	BG10525
BCE_4416	BG11636
BCE_4414	BG11637
BCE_4413	BG11638
BCE_4404	BG11642
BCE_4368	BG11662
BCE_4358	BG11671
BCE_4251	BG11714
BCE_4210	BG11740
BCE_4480	BG13809
BCE_4560	BG10339
BCE_4715	BG13824
BCE_0664	BG13966
BCE_5065	BG12391
BCE_5116	BG14007
BCE_5117	BG14008
BCE_5119	BG14010
BCE_5120	BG14011
BCE_5307	BG10403
BCE_5452	BG10939
BCE_5615	BG10001
BCE_5614	BG11461
